Elm, Pine, Oak, Alder, Hazel, Ash, Lime, Birch, Hornbeam, Larch, Beech, Willow, Maple, PFT, Elm-R, Pine-R, Oak-R, Alder-R, Hazel-R, Ash-R, Lime-R, Birch-R, Hornbeam-R, Larch-R, Beech-R, Willow-R, Maple-R, PFT-R 
0, 26, 0, 0, 8, 2, 0, 0, 0, 0, 0, 0, 1, 0, 0, 26, 0, 0, 8, 2, 0, 0, 0, 0, 0, 0, 1, 0 
0.3, 28.1, 0, 0, 10.15, 4.4, 0, 0, 0, 0, 0, 0, 0.95, 0,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,   
0.25, 34.55, 0, 0, 12, 6.05, 0, 0, 0, 0, 0, 0, 0.95, 0,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,   
0.25, 39.35, 0, 0, 13.9, 8, 0, 0, 0, 0, 0, 0, 0.95, 0,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,   
0.25, 34.8, 0, 0, 16.1, 9.8, 0, 0, 0, 0, 0, 0, 0.95, 0,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,   
0.25, 32.45, 0, 0, 18.65, 12.35, 0, 0, 0, 0, 0, 0, 0.95, 0,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,   
0.25, 36.65, 0, 0, 20.9, 13.85, 0, 0, 0, 0, 0, 0, 0.95, 0,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,   
0.25, 41.2, 0, 0, 22.7, 14.9, 0, 0, 0, 0, 0, 0, 0.95, 0,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,   
0.25, 45.35, 0, 0, 24.25, 15.95, 0, 0, 0, 0, 0, 0, 0.95, 0,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,   
0.25, 49.45, 0, 0, 25.45, 16.55, 0, 0, 0, 0, 0, 0, 0.95, 0,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,   
0.25, 51.75, 0, 0, 26.75, 17.75, 0, 0, 0, 0, 0, 0, 0.95, 0,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,   
0.25, 53.7, 0, 0, 27.5, 18.25, 0, 0, 0, 0, 0, 0, 0.95, 0,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,   
0.25, 47.55, 0, 0, 28.35, 18.5, 0, 0, 0, 0, 0, 0, 0.95, 0,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,   
0.25, 48.65, 0, 0, 29, 19.2, 0, 0, 0, 0, 0, 0, 0.95, 0,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,   
0.25, 50.05, 0, 0, 29.4, 19.85, 0, 0, 0, 0, 0, 0, 0.95, 0,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,   
0.25, 51, 0, 0, 30.2, 20.5, 0, 0, 0, 0, 0, 0, 0.95, 0,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,   
0.25, 52.3, 0, 0, 30.55, 20.9, 0, 0, 0, 0, 0, 0, 0.95, 0,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,   
0.25, 53.1, 0, 0, 30.9, 21.1, 0, 0, 0, 0, 0, 0, 0.95, 0,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,   
0.25, 47.9, 0, 0, 31.35, 21.75, 0, 0, 0, 0, 0, 0, 0.95, 0,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,   
0.25, 43.5, 0, 0, 31.7, 22.3, 0, 0, 0, 0, 0, 0, 0.95, 0,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,   
0.25, 43.5, 0, 0, 31.9, 23.15, 0, 0, 0, 0, 0, 0, 0.95, 0,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,   
0.25, 43.7, 0, 0, 31.95, 23.75, 0, 0, 0, 0, 0, 0, 0.95, 0,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,   
0.25, 43.65, 0, 0, 32.2, 23.7, 0, 0, 0, 0, 0, 0, 0.95, 0,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,   
0.25, 38.55, 0, 0, 32.5, 23.75, 0, 0, 0, 0, 0, 0, 0.95, 0,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,   
0.25, 34, 0, 0, 32.95, 23.85, 0, 0, 0, 0, 0, 0, 0.95, 0,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,   
0.25, 34.25, 0, 0, 33.2, 24.35, 0, 0, 0, 0, 0, 0, 0.95, 0,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,   
0.25, 34.55, 0, 0, 33.35, 24.55, 0, 0, 0, 0, 0, 0, 0.95, 0,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,   
0.25, 34.85, 0, 0, 33.6, 24.9, 0, 0, 0, 0, 0, 0, 0.95, 0,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,   
0.25, 28.85, 0, 0, 34.15, 24.85, 0, 0, 0, 0, 0, 0, 0.95, 0,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,   
0.25, 29.1, 0, 0, 34.45, 25.05, 0, 0, 0, 0, 0, 0, 0.95, 0,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,   
0.25, 29.15, 0, 0, 35, 25.1, 0, 0, 0, 0, 0, 0, 0.95, 0, 0, 0, 1, 0, 140, 2, 0, 0, 0, 0, 0, 0, 0, 121 
