Elm, Pine, Oak, Alder, Hazel, Ash, Lime, Birch, Hornbeam, Larch, Beech, Willow, Maple, PFT, Elm-R, Pine-R, Oak-R, Alder-R, Hazel-R, Ash-R, Lime-R, Birch-R, Hornbeam-R, Larch-R, Beech-R, Willow-R, Maple-R, PFT-R 
5, 0, 0, 0, 54, 19, 0, 0, 0, 0, 0, 0, 9, 0, 5, 0, 0, 0, 54, 19, 0, 0, 0, 0, 0, 0, 9, 0 
5.3, 0, 0, 0, 37.95, 18.15, 0, 0, 0, 0, 0, 0, 7.25, 0,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,   
5.7, 0, 0, 0, 41.4, 21.3, 0, 0, 0, 0, 0, 0, 7.65, 0,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,   
6.1, 0, 0, 0, 44.8, 24.25, 0, 0, 0, 0, 0, 0, 8, 0,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,   
6.5, 0, 0, 0, 47.65, 26.7, 0, 0, 0, 0, 0, 0, 8.1, 0,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,   
6.75, 0, 0, 0, 50.35, 27.9, 0, 0, 0, 0, 0, 0, 8.3, 0,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,   
6.75, 0, 0, 0, 51.85, 29.1, 0, 0, 0, 0, 0, 0, 8.55, 0,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,   
6.7, 0, 0, 0, 53.3, 29.8, 0, 0, 0, 0, 0, 0, 8.75, 0,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,   
6.7, 0, 0, 0, 54.4, 31, 0, 0, 0, 0, 0, 0, 8.75, 0,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,   
6.7, 0, 0, 0, 55.1, 31.8, 0, 0, 0, 0, 0, 0, 8.9, 0,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,   
6.85, 0, 0, 0, 55.95, 32.4, 0, 0, 0, 0, 0, 0, 8.95, 0,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,   
6.95, 0, 0, 0, 56.3, 32.65, 0, 0, 0, 0, 0, 0, 9.05, 0,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,   
7.05, 0, 0, 0, 56.6, 32.9, 0, 0, 0, 0, 0, 0, 9.05, 0,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,   
7.15, 0, 0, 0, 56.8, 33.3, 0, 0, 0, 0, 0, 0, 9.15, 0,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,   
7.15, 0, 0, 0, 56.95, 33.45, 0, 0, 0, 0, 0, 0, 9.15, 0,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,   
7.15, 0, 0, 0, 57.05, 33.8, 0, 0, 0, 0, 0, 0, 9.1, 0,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,   
7.2, 0, 0, 0, 56.95, 33.85, 0, 0, 0, 0, 0, 0, 9.15, 0,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,   
7.2, 0, 0, 0, 57.1, 33.9, 0, 0, 0, 0, 0, 0, 9.1, 0,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,   
7.2, 0, 0, 0, 57.25, 33.8, 0, 0, 0, 0, 0, 0, 9.1, 0,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,   
7.2, 0, 0, 0, 57.25, 33.75, 0, 0, 0, 0, 0, 0, 9.1, 0,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,   
7.2, 0, 0, 0, 57.25, 33.75, 0, 0, 0, 0, 0, 0, 9.15, 0,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,   
7.2, 0, 0, 0, 57.15, 33.75, 0, 0, 0, 0, 0, 0, 9.15, 0,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,   
7.2, 0, 0, 0, 57.15, 33.75, 0, 0, 0, 0, 0, 0, 9.15, 0,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,   
7.2, 0, 0, 0, 57.15, 33.8, 0, 0, 0, 0, 0, 0, 9.15, 0,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,   
7.2, 0, 0, 0, 57.1, 33.8, 0, 0, 0, 0, 0, 0, 9.15, 0,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,   
7.2, 0, 0, 0, 57.1, 33.75, 0, 0, 0, 0, 0, 0, 9.15, 0,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,   
7.2, 0, 0, 0, 57.1, 33.75, 0, 0, 0, 0, 0, 0, 9.15, 0,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,   
7.2, 0, 0, 0, 57.1, 33.75, 0, 0, 0, 0, 0, 0, 9.15, 0,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,   
7.2, 0, 0, 0, 57.1, 33.75, 0, 0, 0, 0, 0, 0, 9.15, 0,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,   
7.2, 0, 0, 0, 57.1, 33.75, 0, 0, 0, 0, 0, 0, 9.15, 0,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,   
7.2, 0, 0, 0, 57.1, 33.75, 0, 0, 0, 0, 0, 0, 9.15, 0, 0, 0, 1, 0, 78, 12, 0, 0, 7, 0, 0, 0, 0, 0 
