Elm, Pine, Oak, Alder, Hazel, Ash, Lime, Birch, Hornbeam, Larch, Beech, Willow, Maple, PFT, Elm-R, Pine-R, Oak-R, Alder-R, Hazel-R, Ash-R, Lime-R, Birch-R, Hornbeam-R, Larch-R, Beech-R, Willow-R, Maple-R, PFT-R 
0, 0, 1, 0, 272, 8, 0, 0, 0, 0, 0, 0, 17, 0, 0, 0, 1, 0, 272, 8, 0, 0, 0, 0, 0, 0, 17, 0 
0.3, 0, 0.95, 0, 81.15, 6.05, 0, 0, 0, 0, 0, 0, 4.7, 0,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,   
0.25, 0, 0.95, 0, 82.2, 7.45, 0, 0, 0, 0, 0, 0, 4.65, 0,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,   
0.25, 0, 0.95, 0, 84.45, 8.55, 0, 0, 0, 0, 0, 0, 4.6, 0,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,   
0.25, 0, 0.95, 0, 85.3, 9.25, 0, 0, 0, 0, 0, 0, 4.45, 0,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,   
0.25, 0, 0.95, 0, 86.05, 10.25, 0, 0, 0, 0, 0, 0, 4.45, 0,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,   
0.25, 0, 0.95, 0, 87.15, 10.9, 0, 0, 0, 0, 0, 0, 4.4, 0,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,   
0.25, 0, 0.95, 0, 87.3, 11.2, 0, 0, 0, 0, 0, 0, 4.35, 0,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,   
0.25, 0, 0.95, 0, 87.4, 11.5, 0, 0, 0, 0, 0, 0, 4.35, 0,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,   
0.25, 0, 0.95, 0, 87.5, 11.65, 0, 0, 0, 0, 0, 0, 4.35, 0,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,   
