Elm, Pine, Oak, Alder, Hazel, Ash, Lime, Birch, Hornbeam, Larch, Beech, Willow, Maple, PFT, Elm-R, Pine-R, Oak-R, Alder-R, Hazel-R, Ash-R, Lime-R, Birch-R, Hornbeam-R, Larch-R, Beech-R, Willow-R, Maple-R, PFT-R 
0, 0, 1, 0, 18, 1, 0, 0, 0, 0, 0, 0, 18, 0, 0, 0, 1, 0, 18, 1, 0, 0, 0, 0, 0, 0, 18, 0 
0.3, 0, 0.95, 0, 20.2, 6.45, 0, 0, 0, 0, 0, 0, 15.15, 0,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,   
0.25, 0, 0.95, 0, 25.25, 10.4, 0, 0, 0, 0, 0, 0, 17.9, 0,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,   
0.25, 0, 0.95, 0, 30.7, 13.95, 0, 0, 0, 0, 0, 0, 20.25, 0,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,   
0.25, 0, 0.95, 0, 35.25, 17.85, 0, 0, 0, 0, 0, 0, 21.55, 0,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,   
0.25, 0, 0.95, 0, 39.7, 20.5, 0, 0, 0, 0, 0, 0, 23.3, 0,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,   
0.25, 0, 0.95, 0, 43.3, 23, 0, 0, 0, 0, 0, 0, 24.75, 0,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,   
0.25, 0, 0.95, 0, 46.1, 24.85, 0, 0, 0, 0, 0, 0, 25.5, 0,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,   
0.25, 0, 0.95, 0, 47.85, 26.15, 0, 0, 0, 0, 0, 0, 26.45, 0,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,   
0.25, 0, 0.95, 0, 49.85, 27.5, 0, 0, 0, 0, 0, 0, 27.05, 0,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,   
0.25, 0, 0.95, 0, 52.05, 28.35, 0, 0, 0, 0, 0, 0, 27.5, 0,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,   
