Elm, Pine, Oak, Alder, Hazel, Ash, Lime, Birch, Hornbeam, Larch, Beech, Willow, Maple, PFT, Elm-R, Pine-R, Oak-R, Alder-R, Hazel-R, Ash-R, Lime-R, Birch-R, Hornbeam-R, Larch-R, Beech-R, Willow-R, Maple-R, PFT-R 
0, 0, 0, 0, 68, 9, 0, 0, 0, 0, 0, 0, 6, 12, 0, 0, 0, 0, 68, 9, 0, 0, 0, 0, 0, 0, 6, 12 
0.3, 0, 0, 0, 43.8, 13.15, 0, 0, 0, 0, 0, 0, 4.7, 5.9,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,   
0.25, 0, 0, 0, 46.2, 16.1, 0, 0, 0, 0, 0, 0, 4.7, 5.9,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,   
0.25, 0, 0, 0, 48.85, 18.65, 0, 0, 0, 0, 0, 0, 4.9, 5.95,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,   
0.25, 0, 0, 0, 50.75, 20.8, 0, 0, 0, 0, 0, 0, 5.05, 5.95,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,   
0.25, 0, 0, 0, 53.4, 22.1, 0, 0, 0, 0, 0, 0, 4.9, 5.95,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,   
0.25, 0, 0, 0, 54.95, 23.4, 0, 0, 0, 0, 0, 0, 4.9, 5.9,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,   
0.25, 0, 0, 0, 56.05, 24.35, 0, 0, 0, 0, 0, 0, 4.85, 5.85,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,   
0.25, 0, 0, 0, 57.1, 25.1, 0, 0, 0, 0, 0, 0, 4.85, 5.9,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,   
0.25, 0, 0, 0, 57.7, 25.3, 0, 0, 0, 0, 0, 0, 4.85, 5.95,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,   
0.25, 0, 0, 0, 58.15, 25.5, 0, 0, 0, 0, 0, 0, 4.9, 5.9,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,   
