Elm, Pine, Oak, Alder, Hazel, Ash, Lime, Birch, Hornbeam, Larch, Beech, Willow, Maple, PFT, Elm-R, Pine-R, Oak-R, Alder-R, Hazel-R, Ash-R, Lime-R, Birch-R, Hornbeam-R, Larch-R, Beech-R, Willow-R, Maple-R, PFT-R 
1, 0, 3, 0, 70, 12, 0, 0, 0, 0, 0, 0, 4, 24, 1, 0, 3, 0, 70, 12, 0, 0, 0, 0, 0, 0, 4, 24 
0.9, 0, 2.7, 0, 39.15, 9.6, 0, 0, 0, 0, 0, 0, 2.7, 11.95,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,   
0.85, 0, 2.7, 0, 41.4, 12.1, 0, 0, 0, 0, 0, 0, 2.7, 12.5,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,   
0.85, 0, 2.7, 0, 44.3, 14.2, 0, 0, 0, 0, 0, 0, 2.7, 12.8,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,   
0.85, 0, 2.7, 0, 46.3, 15.6, 0, 0, 0, 0, 0, 0, 2.55, 12.9,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,   
0.85, 0, 2.7, 0, 48.85, 16.9, 0, 0, 0, 0, 0, 0, 2.55, 13.5,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,   
0.85, 0, 2.7, 0, 49.9, 18.1, 0, 0, 0, 0, 0, 0, 2.55, 13.8,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,   
0.85, 0, 2.7, 0, 50.7, 18.6, 0, 0, 0, 0, 0, 0, 2.5, 14.1,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,   
0.85, 0, 2.7, 0, 51.45, 19.4, 0, 0, 0, 0, 0, 0, 2.5, 14.45,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,   
0.85, 0, 2.7, 0, 51.75, 19.8, 0, 0, 0, 0, 0, 0, 2.5, 14.55,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,   
0.85, 0, 2.7, 0, 51.85, 19.85, 0, 0, 0, 0, 0, 0, 2.45, 14.6,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,   
0.85, 0, 2.7, 0, 52.35, 20.2, 0, 0, 0, 0, 0, 0, 2.45, 14.6,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,   
0.85, 0, 2.7, 0, 52.75, 20.5, 0, 0, 0, 0, 0, 0, 2.45, 14.6,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,   
0.85, 0, 2.7, 0, 53.05, 20.7, 0, 0, 0, 0, 0, 0, 2.45, 14.55,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,   
0.85, 0, 2.7, 0, 53.5, 20.75, 0, 0, 0, 0, 0, 0, 2.45, 14.65,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,   
0.85, 0, 2.7, 0, 53.6, 20.75, 0, 0, 0, 0, 0, 0, 2.45, 14.65,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,   
0.85, 0, 2.7, 0, 53.4, 20.8, 0, 0, 0, 0, 0, 0, 2.45, 14.6,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,   
0.85, 0, 2.7, 0, 53.55, 20.85, 0, 0, 0, 0, 0, 0, 2.45, 14.6,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,   
0.85, 0, 2.7, 0, 53.55, 20.85, 0, 0, 0, 0, 0, 0, 2.45, 14.65,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,   
0.85, 0, 2.7, 0, 53.55, 20.8, 0, 0, 0, 0, 0, 0, 2.45, 14.65,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,   
0.85, 0, 2.7, 0, 53.55, 20.9, 0, 0, 0, 0, 0, 0, 2.45, 14.65,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,   
0.85, 0, 2.7, 0, 53.65, 21, 0, 0, 0, 0, 0, 0, 2.45, 14.65,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,   
0.85, 0, 2.7, 0, 53.65, 21.05, 0, 0, 0, 0, 0, 0, 2.45, 14.65,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,   
0.85, 0, 2.7, 0, 53.65, 21.05, 0, 0, 0, 0, 0, 0, 2.45, 14.65,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,   
0.85, 0, 2.7, 0, 53.75, 21.05, 0, 0, 0, 0, 0, 0, 2.45, 14.65,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,   
0.85, 0, 2.7, 0, 53.75, 21, 0, 0, 0, 0, 0, 0, 2.45, 14.65,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,   
0.85, 0, 2.7, 0, 53.75, 21, 0, 0, 0, 0, 0, 0, 2.45, 14.65,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,   
0.85, 0, 2.7, 0, 53.75, 21.05, 0, 0, 0, 0, 0, 0, 2.45, 14.65,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,   
0.85, 0, 2.7, 0, 53.75, 21.05, 0, 0, 0, 0, 0, 0, 2.45, 14.65,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,   
0.85, 0, 2.7, 0, 53.75, 21.05, 0, 0, 0, 0, 0, 0, 2.45, 14.65,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,   
