Elm, Pine, Oak, Alder, Hazel, Ash, Lime, Birch, Hornbeam, Larch, Beech, Willow, Maple, PFT, Elm-R, Pine-R, Oak-R, Alder-R, Hazel-R, Ash-R, Lime-R, Birch-R, Hornbeam-R, Larch-R, Beech-R, Willow-R, Maple-R, PFT-R 
0, 19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0 
0.3, 30.95, 0, 0, 2.1, 1.2, 0, 0, 0, 0, 0, 0, 3.35, 0,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,   
0.25, 45.5, 0, 0, 2.2, 1.25, 0, 0, 0, 0, 0, 0, 4.85, 0,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,   
0.25, 57.15, 0, 0, 2.45, 1.4, 0, 0, 0, 0, 0, 0, 6.45, 0,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,   
0.25, 53.7, 0, 0, 2.7, 1.5, 0, 0, 0, 0, 0, 0, 8.8, 0,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,   
0.25, 50.8, 0, 0, 2.9, 1.55, 0, 0, 0, 0, 0, 0, 11.85, 0,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,   
0.25, 65.7, 0, 0, 2.95, 1.75, 0, 0, 0, 0, 0, 0, 14.4, 0,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,   
0.25, 79.3, 0, 0, 2.95, 1.85, 0, 0, 0, 0, 0, 0, 16.1, 0,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,   
0.25, 90.75, 0, 0, 3.1, 1.9, 0, 0, 0, 0, 0, 0, 17.5, 0,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,   
0.25, 100.65, 0, 0, 3.15, 1.95, 0, 0, 0, 0, 0, 0, 18.7, 0,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,   
0.25, 106.45, 0, 0, 3.25, 1.95, 0, 0, 0, 0, 0, 0, 19.8, 0,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,   
0.25, 110.7, 0, 0, 3.25, 1.95, 0, 0, 0, 0, 0, 0, 20.8, 0,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,   
0.25, 101.15, 0, 0, 3.25, 1.95, 0, 0, 0, 0, 0, 0, 21.55, 0,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,   
0.25, 105.3, 0, 0, 3.25, 1.9, 0, 0, 0, 0, 0, 0, 22.9, 0,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,   
0.25, 110.7, 0, 0, 3.25, 1.9, 0, 0, 0, 0, 0, 0, 23.65, 0,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,   
0.25, 112.85, 0, 0, 3.25, 1.95, 0, 0, 0, 0, 0, 0, 24.2, 0,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,   
0.25, 116.15, 0, 0, 3.25, 1.95, 0, 0, 0, 0, 0, 0, 24.5, 0,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,   
0.25, 118.35, 0, 0, 3.3, 1.95, 0, 0, 0, 0, 0, 0, 24.8, 0,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,   
0.25, 114.35, 0, 0, 3.3, 1.95, 0, 0, 0, 0, 0, 0, 25.3, 0,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,   
0.25, 111.4, 0, 0, 3.3, 1.95, 0, 0, 0, 0, 0, 0, 25.75, 0,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,   
