Elm, Pine, Oak, Alder, Hazel, Ash, Lime, Birch, Hornbeam, Larch, Beech, Willow, Maple, PFT, Elm-R, Pine-R, Oak-R, Alder-R, Hazel-R, Ash-R, Lime-R, Birch-R, Hornbeam-R, Larch-R, Beech-R, Willow-R, Maple-R, PFT-R 
0, 0, 0, 0, 292, 36, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 292, 36, 0, 0, 0, 0, 0, 0, 1, 0 
0.3, 0, 0, 0, 42.15, 9.8, 0, 0, 0, 0, 0, 0, 0.65, 0,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,   
0.25, 0, 0, 0, 50.25, 15.35, 0, 0, 0, 0, 0, 0, 0.6, 0,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,   
0.25, 0, 0, 0, 58.1, 20.95, 0, 0, 0, 0, 0, 0, 0.6, 0,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,   
0.25, 0, 0, 0, 64.25, 24.7, 0, 0, 0, 0, 0, 0, 0.55, 0,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,   
0.25, 0, 0, 0, 70.05, 27.7, 0, 0, 0, 0, 0, 0, 0.55, 0,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,   
0.25, 0, 0, 0, 74.35, 30.1, 0, 0, 0, 0, 0, 0, 0.55, 0,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,   
0.25, 0, 0, 0, 77.2, 31.85, 0, 0, 0, 0, 0, 0, 0.55, 0,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,   
0.25, 0, 0, 0, 80.2, 33.8, 0, 0, 0, 0, 0, 0, 0.55, 0,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,   
0.25, 0, 0, 0, 82.1, 35, 0, 0, 0, 0, 0, 0, 0.5, 0,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,   
0.25, 0, 0, 0, 84.7, 36.45, 0, 0, 0, 0, 0, 0, 0.5, 0,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,   
0.25, 0, 0, 0, 86.25, 37.35, 0, 0, 0, 0, 0, 0, 0.5, 0,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,   
0.25, 0, 0, 0, 87.45, 38.35, 0, 0, 0, 0, 0, 0, 0.5, 0,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,   
0.25, 0, 0, 0, 88.4, 38.95, 0, 0, 0, 0, 0, 0, 0.5, 0,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,   
0.25, 0, 0, 0, 89.25, 39.25, 0, 0, 0, 0, 0, 0, 0.5, 0,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,   
0.25, 0, 0, 0, 89.55, 39.5, 0, 0, 0, 0, 0, 0, 0.5, 0,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,   
0.25, 0, 0, 0, 89.7, 39.7, 0, 0, 0, 0, 0, 0, 0.5, 0,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,   
0.25, 0, 0, 0, 89.8, 39.65, 0, 0, 0, 0, 0, 0, 0.5, 0,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,   
0.25, 0, 0, 0, 89.85, 39.7, 0, 0, 0, 0, 0, 0, 0.5, 0,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,   
0.25, 0, 0, 0, 90, 39.85, 0, 0, 0, 0, 0, 0, 0.5, 0,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,   
0.25, 0, 0, 0, 90, 39.7, 0, 0, 0, 0, 0, 0, 0.5, 0,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,   
0.25, 0, 0, 0, 89.95, 39.7, 0, 0, 0, 0, 0, 0, 0.5, 0,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,   
0.25, 0, 0, 0, 89.95, 39.75, 0, 0, 0, 0, 0, 0, 0.5, 0,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,   
0.25, 0, 0, 0, 89.9, 39.75, 0, 0, 0, 0, 0, 0, 0.5, 0,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,   
0.25, 0, 0, 0, 89.9, 39.75, 0, 0, 0, 0, 0, 0, 0.5, 0,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,   
0.25, 0, 0, 0, 89.9, 39.75, 0, 0, 0, 0, 0, 0, 0.5, 0,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,   
0.25, 0, 0, 0, 89.9, 39.75, 0, 0, 0, 0, 0, 0, 0.5, 0,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,   
0.25, 0, 0, 0, 89.9, 39.75, 0, 0, 0, 0, 0, 0, 0.5, 0,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,   
0.25, 0, 0, 0, 89.9, 39.75, 0, 0, 0, 0, 0, 0, 0.5, 0,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,   
0.25, 0, 0, 0, 89.9, 39.75, 0, 0, 0, 0, 0, 0, 0.5, 0,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,   
0.25, 0, 0, 0, 89.9, 39.75, 0, 0, 0, 0, 0, 0, 0.5, 0, 0, 0, 0, 0, 92, 12, 0, 0, 0, 0, 0, 0, 6, 0 
