Elm, Pine, Oak, Alder, Hazel, Ash, Lime, Birch, Hornbeam, Larch, Beech, Willow, Maple, PFT, Elm-R, Pine-R, Oak-R, Alder-R, Hazel-R, Ash-R, Lime-R, Birch-R, Hornbeam-R, Larch-R, Beech-R, Willow-R, Maple-R, PFT-R 
24, 0, 1, 0, 74, 0, 0, 0, 0, 0, 0, 0, 0, 0, 24, 0, 1, 0, 74, 0, 0, 0, 0, 0, 0, 0, 0, 0 
16.5, 0, 0.95, 0, 40.8, 1.2, 0, 0, 0, 0, 0, 0, 0.3, 0,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,   
18.25, 0, 0.95, 0, 42.95, 1.25, 0, 0, 0, 0, 0, 0, 0.3, 0,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,   
19.25, 0, 0.95, 0, 44.85, 1.4, 0, 0, 0, 0, 0, 0, 0.3, 0,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,   
20.05, 0, 0.95, 0, 45.6, 1.5, 0, 0, 0, 0, 0, 0, 0.3, 0,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,   
21.2, 0, 0.95, 0, 46.5, 1.55, 0, 0, 0, 0, 0, 0, 0.3, 0,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,   
21.65, 0, 0.95, 0, 46.65, 1.75, 0, 0, 0, 0, 0, 0, 0.3, 0,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,   
21.9, 0, 0.95, 0, 46.95, 1.85, 0, 0, 0, 0, 0, 0, 0.3, 0,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,   
22.15, 0, 0.95, 0, 47.6, 1.9, 0, 0, 0, 0, 0, 0, 0.3, 0,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,   
22.3, 0, 0.95, 0, 48, 1.95, 0, 0, 0, 0, 0, 0, 0.3, 0,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,   
22.5, 0, 0.95, 0, 48.7, 1.95, 0, 0, 0, 0, 0, 0, 0.3, 0,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,   
22.9, 0, 0.95, 0, 49.15, 1.95, 0, 0, 0, 0, 0, 0, 0.3, 0,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,   
23.15, 0, 0.95, 0, 49.55, 1.95, 0, 0, 0, 0, 0, 0, 0.3, 0,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,   
23.2, 0, 0.95, 0, 49.7, 1.9, 0, 0, 0, 0, 0, 0, 0.3, 0,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,   
23.45, 0, 0.95, 0, 49.55, 1.9, 0, 0, 0, 0, 0, 0, 0.3, 0,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,   
23.35, 0, 0.95, 0, 49.45, 1.95, 0, 0, 0, 0, 0, 0, 0.3, 0,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,   
23.3, 0, 0.95, 0, 49.5, 1.95, 0, 0, 0, 0, 0, 0, 0.3, 0,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,   
23.4, 0, 0.95, 0, 49.65, 1.95, 0, 0, 0, 0, 0, 0, 0.3, 0,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,   
