Elm, Pine, Oak, Alder, Hazel, Ash, Lime, Birch, Hornbeam, Larch, Beech, Willow, Maple, PFT, Elm-R, Pine-R, Oak-R, Alder-R, Hazel-R, Ash-R, Lime-R, Birch-R, Hornbeam-R, Larch-R, Beech-R, Willow-R, Maple-R, PFT-R 
0, 0, 0, 0, 108, 41, 0, 0, 0, 0, 0, 0, 4, 11, 0, 0, 0, 0, 108, 41, 0, 0, 0, 0, 0, 0, 4, 11 
0.3, 0, 0, 0, 61.85, 34.85, 0, 0, 0, 0, 0, 0, 2.25, 9,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,   
0.25, 0, 0, 0, 65.5, 37.6, 0, 0, 0, 0, 0, 0, 2.25, 9.15,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,   
0.25, 0, 0, 0, 68.6, 39.95, 0, 0, 0, 0, 0, 0, 2.25, 9.45,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,   
0.25, 0, 0, 0, 71.35, 41.8, 0, 0, 0, 0, 0, 0, 2.25, 9.55,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,   
0.25, 0, 0, 0, 74.05, 43.5, 0, 0, 0, 0, 0, 0, 2.25, 9.75,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,   
0.25, 0, 0, 0, 76, 44.95, 0, 0, 0, 0, 0, 0, 2.25, 9.8,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,   
0.25, 0, 0, 0, 77.2, 46.1, 0, 0, 0, 0, 0, 0, 2.25, 10.1,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,   
0.25, 0, 0, 0, 78.1, 46.55, 0, 0, 0, 0, 0, 0, 2.25, 10.1,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,   
0.25, 0, 0, 0, 79.25, 47.1, 0, 0, 0, 0, 0, 0, 2.25, 10.2,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,   
0.25, 0, 0, 0, 80.05, 47.3, 0, 0, 0, 0, 0, 0, 2.25, 10.25,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,   
0.25, 0, 0, 0, 80.7, 47.75, 0, 0, 0, 0, 0, 0, 2.25, 10.3,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,   
0.25, 0, 0, 0, 80.7, 47.85, 0, 0, 0, 0, 0, 0, 2.25, 10.35,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,   
0.25, 0, 0, 0, 80.85, 47.95, 0, 0, 0, 0, 0, 0, 2.25, 10.4,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,   
0.25, 0, 0, 0, 81, 47.95, 0, 0, 0, 0, 0, 0, 2.25, 10.35,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,   
0.25, 0, 0, 0, 81, 48.1, 0, 0, 0, 0, 0, 0, 2.25, 10.35,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,   
0.25, 0, 0, 0, 80.9, 48.1, 0, 0, 0, 0, 0, 0, 2.25, 10.35,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,   
0.25, 0, 0, 0, 80.9, 48.1, 0, 0, 0, 0, 0, 0, 2.25, 10.4,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,   
0.25, 0, 0, 0, 80.9, 48.2, 0, 0, 0, 0, 0, 0, 2.25, 10.4,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,   
0.25, 0, 0, 0, 80.9, 48.2, 0, 0, 0, 0, 0, 0, 2.25, 10.4,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,   
0.25, 0, 0, 0, 80.9, 48.2, 0, 0, 0, 0, 0, 0, 2.25, 10.4,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,   
