Elm, Pine, Oak, Alder, Hazel, Ash, Lime, Birch, Hornbeam, Larch, Beech, Willow, Maple, PFT, Elm-R, Pine-R, Oak-R, Alder-R, Hazel-R, Ash-R, Lime-R, Birch-R, Hornbeam-R, Larch-R, Beech-R, Willow-R, Maple-R, PFT-R 
0, 0, 1, 0, 70, 12, 0, 0, 0, 0, 0, 32, 32, 36, 0, 0, 1, 0, 70, 12, 0, 0, 0, 0, 0, 32, 32, 36 
0.3, 0, 0.95, 0, 46.95, 8.75, 0, 0, 0, 0, 0, 20.25, 15.05, 20.8,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,   
0.25, 0, 0.95, 0, 49.05, 10.25, 0, 0, 0, 0, 0, 20.55, 15.35, 20.95,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,   
0.25, 0, 0.95, 0, 51.05, 11.85, 0, 0, 0, 0, 0, 21.15, 15.55, 21.5,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,   
0.25, 0, 0.95, 0, 53.3, 13.6, 0, 0, 0, 0, 0, 21.85, 15.75, 22.25,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,   
0.25, 0, 0.95, 0, 54.75, 15.25, 0, 0, 0, 0, 0, 22.5, 15.95, 22.6,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,   
0.25, 0, 0.95, 0, 55.7, 16.5, 0, 0, 0, 0, 0, 23.05, 16.25, 22.85,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,   
0.25, 0, 0.95, 0, 56.4, 17.15, 0, 0, 0, 0, 0, 23.15, 16.3, 23,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,   
0.25, 0, 0.95, 0, 57.2, 17.45, 0, 0, 0, 0, 0, 23.3, 16.3, 23.1,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,   
0.25, 0, 0.95, 0, 57.85, 18.15, 0, 0, 0, 0, 0, 23.35, 16.4, 23.3,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,   
