Elm, Pine, Oak, Alder, Hazel, Ash, Lime, Birch, Hornbeam, Larch, Beech, Willow, Maple, PFT, Elm-R, Pine-R, Oak-R, Alder-R, Hazel-R, Ash-R, Lime-R, Birch-R, Hornbeam-R, Larch-R, Beech-R, Willow-R, Maple-R, PFT-R 
0, 0, 0, 0, 110, 17, 0, 0, 0, 0, 0, 0, 19, 7, 0, 0, 0, 0, 110, 17, 0, 0, 0, 0, 0, 0, 19, 7 
0.3, 0, 0, 0, 78.05, 20.1, 0, 0, 0, 0, 0, 0, 12.55, 6.45,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,   
0.25, 0, 0, 0, 82.95, 23.7, 0, 0, 0, 0, 0, 0, 13.25, 6.7,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,   
0.25, 0, 0, 0, 88, 27.85, 0, 0, 0, 0, 0, 0, 13.8, 6.8,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,   
0.25, 0, 0, 0, 93.05, 31.55, 0, 0, 0, 0, 0, 0, 14.15, 7.05,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,   
0.25, 0, 0, 0, 97.4, 34.65, 0, 0, 0, 0, 0, 0, 14.5, 7.15,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,   
0.25, 0, 0, 0, 100.25, 36.5, 0, 0, 0, 0, 0, 0, 14.75, 7.2,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,   
0.25, 0, 0, 0, 102.05, 37.95, 0, 0, 0, 0, 0, 0, 14.85, 7.3,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,   
0.25, 0, 0, 0, 103.15, 38.55, 0, 0, 0, 0, 0, 0, 14.85, 7.3,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,   
0.25, 0, 0, 0, 103.5, 39.05, 0, 0, 0, 0, 0, 0, 14.85, 7.3,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,   
0.25, 0, 0, 0, 104.15, 39.35, 0, 0, 0, 0, 0, 0, 14.85, 7.35,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,   
0.25, 0, 0, 0, 104.5, 39.55, 0, 0, 0, 0, 0, 0, 14.9, 7.35,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,   
0.25, 0, 0, 0, 104.6, 39.55, 0, 0, 0, 0, 0, 0, 14.85, 7.35,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,   
0.25, 0, 0, 0, 104.65, 39.55, 0, 0, 0, 0, 0, 0, 14.9, 7.35,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,   
0.25, 0, 0, 0, 104.85, 39.6, 0, 0, 0, 0, 0, 0, 14.9, 7.35,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,   
0.25, 0, 0, 0, 104.9, 39.7, 0, 0, 0, 0, 0, 0, 14.9, 7.35,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,   
0.25, 0, 0, 0, 104.9, 39.7, 0, 0, 0, 0, 0, 0, 14.9, 7.35,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,   
0.25, 0, 0, 0, 104.95, 39.75, 0, 0, 0, 0, 0, 0, 14.9, 7.35,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,   
0.25, 0, 0, 0, 105, 39.75, 0, 0, 0, 0, 0, 0, 14.9, 7.35,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,   
0.25, 0, 0, 0, 105.05, 39.75, 0, 0, 0, 0, 0, 0, 14.9, 7.35,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,   
0.25, 0, 0, 0, 105, 39.75, 0, 0, 0, 0, 0, 0, 14.9, 7.35,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,   
0.25, 0, 0, 0, 105, 39.75, 0, 0, 0, 0, 0, 0, 14.9, 7.35,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,   
0.25, 0, 0, 0, 105, 39.75, 0, 0, 0, 0, 0, 0, 14.9, 7.35,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,   
0.25, 0, 0, 0, 105, 39.75, 0, 0, 0, 0, 0, 0, 14.9, 7.35,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,   
0.25, 0, 0, 0, 105, 39.75, 0, 0, 0, 0, 0, 0, 14.9, 7.35,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,   
0.25, 0, 0, 0, 105, 39.75, 0, 0, 0, 0, 0, 0, 14.9, 7.35,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,   
0.25, 0, 0, 0, 105, 39.75, 0, 0, 0, 0, 0, 0, 14.9, 7.35,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,   
0.25, 0, 0, 0, 105, 39.75, 0, 0, 0, 0, 0, 0, 14.9, 7.35,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,   
0.25, 0, 0, 0, 105, 39.75, 0, 0, 0, 0, 0, 0, 14.9, 7.35,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,   
0.25, 0, 0, 0, 105, 39.75, 0, 0, 0, 0, 0, 0, 14.9, 7.35,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,   
0.25, 0, 0, 0, 105, 39.75, 0, 0, 0, 0, 0, 0, 14.9, 7.35, 0, 0, 0, 0, 60, 13, 0, 0, 0, 0, 0, 0, 1, 5 
