Elm, Pine, Oak, Alder, Hazel, Ash, Lime, Birch, Hornbeam, Larch, Beech, Willow, Maple, PFT, Elm-R, Pine-R, Oak-R, Alder-R, Hazel-R, Ash-R, Lime-R, Birch-R, Hornbeam-R, Larch-R, Beech-R, Willow-R, Maple-R, PFT-R 
0, 30, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 4, 0, 0, 30, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 4, 0 
0.3, 35.45, 0, 0, 2.1, 2.75, 0, 0, 0, 0, 0, 0, 4.35, 0,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,   
0.25, 44.95, 0, 0, 2.2, 2.8, 0, 0, 0, 0, 0, 0, 5.55, 0,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,   
0.25, 52.25, 0, 0, 2.45, 2.95, 0, 0, 0, 0, 0, 0, 6.65, 0,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,   
0.25, 46.75, 0, 0, 2.7, 3.05, 0, 0, 0, 0, 0, 0, 7.85, 0,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,   
0.25, 43.45, 0, 0, 2.9, 3.05, 0, 0, 0, 0, 0, 0, 9.55, 0,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,   
0.25, 54.25, 0, 0, 2.95, 3.25, 0, 0, 0, 0, 0, 0, 11, 0,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,   
0.25, 64.15, 0, 0, 2.95, 3.35, 0, 0, 0, 0, 0, 0, 12.25, 0,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,   
0.25, 72.35, 0, 0, 3.1, 3.4, 0, 0, 0, 0, 0, 0, 13.65, 0,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,   
0.25, 80.4, 0, 0, 3.15, 3.45, 0, 0, 0, 0, 0, 0, 14.6, 0,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,   
0.25, 85.8, 0, 0, 3.25, 3.45, 0, 0, 0, 0, 0, 0, 15.5, 0,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,   
0.25, 90.75, 0, 0, 3.25, 3.45, 0, 0, 0, 0, 0, 0, 16.45, 0,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,   
0.25, 82.6, 0, 0, 3.25, 3.45, 0, 0, 0, 0, 0, 0, 17.4, 0,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,   
0.25, 86.95, 0, 0, 3.25, 3.4, 0, 0, 0, 0, 0, 0, 18.4, 0,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,   
0.25, 92.1, 0, 0, 3.25, 3.4, 0, 0, 0, 0, 0, 0, 19.45, 0,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,   
0.25, 95.95, 0, 0, 3.25, 3.45, 0, 0, 0, 0, 0, 0, 20.4, 0,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,   
0.25, 99.9, 0, 0, 3.25, 3.45, 0, 0, 0, 0, 0, 0, 21.3, 0,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,   
0.25, 101.7, 0, 0, 3.3, 3.45, 0, 0, 0, 0, 0, 0, 21.65, 0,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,   
0.25, 96.3, 0, 0, 3.3, 3.4, 0, 0, 0, 0, 0, 0, 22.4, 0,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,   
